date,day,month,year,time,hour,minute,second,gw-level
27.09.1954,27,09,1954,07:01:00,07,01,00,114.82
03.10.1955,03,10,1955,07:01:00,07,01,00,115.18
15.10.1956,15,10,1956,07:01:00,07,01,00,114.86
04.09.1967,04,09,1967,07:01:00,07,01,00,114.9
05.08.1968,05,08,1968,07:01:00,07,01,00,114.65
03.11.1969,03,11,1969,07:01:00,07,01,00,114.73
05.10.1970,05,10,1970,07:01:00,07,01,00,114.66
20.09.1971,20,09,1971,07:01:00,07,01,00,114.22
01.01.1972,01,01,1972,00:00:05,00,00,05,114.46
24.09.1973,24,09,1973,07:01:00,07,01,00,113.99
16.09.1974,16,09,1974,07:01:00,07,01,00,114.09
10.11.1975,10,11,1975,07:01:00,07,01,00,114.68
30.08.1976,30,08,1976,07:01:00,07,01,00,114.09
10.10.1977,10,10,1977,07:01:00,07,01,00,114.27
25.09.1978,25,09,1978,07:01:00,07,01,00,114.02
01.01.1979,01,01,1979,00:00:05,00,00,05,114.25
06.10.1980,06,10,1980,07:01:00,07,01,00,114.23
14.09.1981,14,09,1981,07:01:00,07,01,00,114.11
29.07.1982,29,07,1982,07:01:00,07,01,00,114.59
05.09.1983,05,09,1983,07:01:00,07,01,00,114.22
17.09.1984,17,09,1984,07:01:00,07,01,00,114.14
21.10.1985,21,10,1985,07:01:00,07,01,00,114.35
13.10.1986,13,10,1986,07:01:00,07,01,00,114.26
01.01.1987,01,01,1987,00:00:05,00,00,05,114.45
22.08.1988,22,08,1988,07:01:00,07,01,00,114.21
28.08.1989,28,08,1989,07:01:00,07,01,00,114.13
10.09.1990,10,09,1990,07:01:00,07,01,00,113.58
16.09.1991,16,09,1991,07:01:00,07,01,00,114.01
21.09.1992,21,09,1992,07:01:00,07,01,00,113.73
23.08.1993,23,08,1993,07:01:00,07,01,00,113.76
12.09.1994,12,09,1994,07:01:00,07,01,00,114.16
28.08.1995,28,08,1995,07:01:00,07,01,00,114.2
02.09.1996,02,09,1996,07:01:00,07,01,00,114.97
03.11.1997,03,11,1997,07:30:00,07,30,00,114.74
17.08.1998,17,08,1998,07:30:00,07,30,00,114.28
18.10.1999,18,10,1999,09:00:00,09,00,00,114.56
28.08.2000,28,08,2000,09:00:00,09,00,00,114.08
03.09.2001,03,09,2001,09:00:00,09,00,00,113.75
09.09.2002,09,09,2002,09:00:00,09,00,00,113.72
29.09.2003,29,09,2003,09:00:00,09,00,00,113.75
27.09.2004,27,09,2004,09:00:00,09,00,00,113.93
01.08.2005,01,08,2005,09:00:00,09,00,00,114.13
02.10.2006,02,10,2006,09:00:00,09,00,00,114.48
20.08.2007,20,08,2007,09:00:00,09,00,00,113.92
15.09.2008,15,09,2008,09:00:00,09,00,00,114.59
05.10.2009,05,10,2009,09:00:00,09,00,00,114.71
02.08.2010,02,08,2010,09:00:00,09,00,00,115.01
03.10.2011,03,10,2011,09:00:00,09,00,00,114.45
24.09.2012,24,09,2012,09:00:00,09,00,00,113.94
26.08.2013,26,08,2013,09:00:00,09,00,00,114.29
21.07.2014,21,07,2014,10:10:00,10,10,00,114.45
21.09.2015,21,09,2015,10:10:00,10,10,00,114.28
03.10.2016,03,10,2016,10:10:00,10,10,00,114.39
11.09.2017,11,09,2017,10:10:00,10,10,00,113.88
20.08.2018,20,08,2018,10:10:00,10,10,00,114.28
26.08.2019,26,08,2019,10:00:00,10,00,00,114.06
31.08.2020,31,08,2020,10:10:00,10,10,00,114.11
23.08.2021,23,08,2021,10:10:00,10,10,00,114.0
